category,query_id,range_start,range_end,result_count,time_ms,io_count
3,339,1225904741,1225904763,0,0.004150,4
3,340,1246181326,1246181348,0,0.003662,3
3,341,1245513666,1245513688,0,0.003418,3
3,342,1236647659,1236647681,0,0.003418,3
3,343,1227243539,1227243561,0,0.003418,3
3,344,1233641883,1233641905,0,0.003418,3
3,345,1243133721,1243133743,0,0.003418,3
3,346,1245091252,1245091274,0,0.003418,3
3,347,1227681857,1227681879,0,0.003662,3
3,348,1226506422,1226506444,0,0.003174,3
3,349,1237345822,1237345844,0,0.003418,3
3,350,1229108054,1229108076,0,0.003662,3
3,351,1226762770,1226762792,0,0.003174,3
3,352,1239309856,1239309878,0,0.003418,3
3,353,1236282894,1236282916,0,0.003418,3
3,354,1233301838,1233301860,0,0.003174,3
3,355,1239616954,1239616976,0,0.003418,3
3,356,1236698550,1236698572,0,0.003174,3
3,357,1225210484,1225210506,0,0.003418,3
3,358,1235084940,1235084962,0,0.003174,3
3,359,1241142877,1241142899,0,0.003174,3
3,360,1243262330,1243262352,0,0.003418,3
3,361,1228541597,1228541619,0,0.003662,3
3,362,1235794994,1235795016,0,0.003174,3
3,363,1237251874,1237251896,0,0.003662,3
3,364,1225401683,1225401705,0,0.003418,3
3,365,1233611311,1233611333,0,0.003174,3
3,366,1242506663,1242506685,0,0.003418,3
3,367,1226237378,1226237400,0,0.003662,3
3,368,1245557957,1245557979,0,0.003174,3
3,369,1235163280,1235163302,0,0.003418,3
3,370,1232481414,1232481436,0,0.003662,3
3,371,1243897327,1243897349,0,0.003174,3
3,372,1233927296,1233927318,0,0.003418,3
3,373,1237959781,1237959803,0,0.003174,3
3,374,1240888745,1240888767,0,0.003174,3
3,375,1243728895,1243728917,0,0.003418,3
3,376,1234887083,1234887105,0,0.003418,3
3,377,1240107845,1240107867,0,0.003418,3
3,378,1225158084,1225158106,0,0.003418,3
3,379,1233288153,1233288175,0,0.003174,3
3,380,1234373697,1234373719,0,0.003418,3
3,381,1227230148,1227230170,0,0.003418,3
3,382,1242833191,1242833213,0,0.003174,3
3,383,1232960465,1232960487,0,0.004639,4
3,384,1228136625,1228136647,0,0.003418,3
3,385,1225891613,1225891635,0,0.004395,4
3,386,1229115041,1229115063,0,0.003174,3
3,387,1237520316,1237520338,0,0.003418,3
3,388,1238742775,1238742797,0,0.003418,3
3,389,1238868727,1238868749,0,0.003174,3
3,390,1232745285,1232745307,0,0.003418,3
3,391,1227281972,1227281994,0,0.003418,3
3,392,1242327945,1242327967,0,0.003174,3
3,393,1236290841,1236290863,0,0.003418,3
3,394,1241750713,1241750735,0,0.003174,3
3,395,1246675692,1246675714,0,0.003662,3
3,396,1234904177,1234904199,0,0.003418,3
3,397,1240285984,1240286006,0,0.003174,3
3,398,1227334609,1227334631,0,0.003418,3
3,399,1232215071,1232215093,0,0.003662,3
